Culture Name,OldName,Genus,Ecotype,Clade,Location,Cruise Name,Depth,Isolator,Isolation Method,Notes,Latitude,Longitude,Cruise ID,Taxa,Date Isolated,LonghurstCode,LonghurstProvince,Biome,yearsInAge,depthRange
SYNCLADEXVI,SYNCLADEXVI,Synechococcus,5.1b,XVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Syn,NA,NA,NA,NA,NA,NA
WH6501,WH6501,Synechococcus,5.1a,II,North Atlantic,NA,NA,R.R.L. Guillard,NA,NA,8.733333333,-50.83333333,NA,Syn,1965/01/01,WTRA,Trades -WesternTropical Atlantic Province,Trades,54.41369863,NA
WH7803,WH7803,Synechococcus,5.1b,V,North Atlantic,Oceanus 48,NA,L. Brand,NA,NA,33.74833333,-67.49666667,NA,Syn,1978/07/01,NASW,Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW),Westerlies,40.91780822,NA
WH8012,WH8012,Synechococcus,5.1a,II,North Atlantic,Oceanus 83,NA,L. Brand,NA,NA,34,-65,NA,Syn,1980/07/07,NASW,Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW),Westerlies,38.90136986,NA
WH8017,WH8017,Synechococcus,5.1b,VI,North Atlantic,NA,NA,F. Valois,NA,NA,41.5265,-70.6731,NA,Syn,1980/06/01,NWCS,Coastal - NW Atlantic Shelves Province,Coastal,39,NA
WH8102,WH8102,Synechococcus,5.1a,III,North Atlantic,Oceanus 92,NA,J. Waterbury,NA,NA,22.495,-65.6,NA,Syn,1981/03/15,NATR,Trades - N. AtlanticTropical Gyral Province (TRPG),Trades,38.21311475,NA
WH8109,WH8109,Synechococcus,5.1a,II,North Atlantic,Oceanus 100,NA,L. Brand,NA,NA,39.47666667,-70.462,NA,Syn,1981/06/01,GFST,Westerlies - Gulf Stream Province,Westerlies,38,NA
RS9916,RS9916,Synechococcus,5.1b,IX,Red Sea,NA,10,N. Fuller,Filtered,NA,29.46666667,34.91666667,NA,Syn,1999/11/22,REDS,Coastal - Red Sea Persian Gulf Province,Coastal,19.52328767,0-50m
P1362,JW2,Prochlorococcus,Low Light,Unspecified LL,Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered,"Enrichment cultures (not unialgal). Seawater was amended with 1 μM NaH2PO4, 15 μM NaNO2 , and the Pro2 media trace metal mix",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
P1344,JW4,Prochlorococcus,Low Light,Unspecified LL,Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered,"Enrichment cultures (not unialgal). Seawater was amended with 1 μM NaH2PO4, 15 μM NaNO2 , and the Pro2 media trace metal mix",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
P1347,JW7,Prochlorococcus,Low Light,Unspecified LL,Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered,"Enrichment cultures (not unialgal). Seawater was amended with 1 μM NaH2PO4, 15 μM NaNO2 , and the Pro2 media trace metal mix",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
